identifier	identifier_type	title	journal	publisher	published_online	published_print	metadata_type	article_type	decision	evidence_role	discovery	crossref_update_count	resolved_url	verification_status
10.1038/s41592-021-01252-x	doi	Effective gene expression prediction from sequence by integrating long-range interactions	Nature Methods	Springer Science and Business Media LLC	2021-10-4	2021-10	journal-article	Article	include_core	supervised long-range sequence-to-function baseline and homology-aware split	systematic_search	0	https://www.nature.com/articles/s41592-021-01252-x?error=cookies_not_supported&code=3aed74b7-eaaf-4293-8421-be0063846c9c	PASS
10.1038/s42256-024-00872-0	doi	DNA language model GROVER learns sequence context in the human genome	Nature Machine Intelligence	Springer Science and Business Media LLC	2024-7-23		journal-article	Article	include_core	genome language modeling and context representation	systematic_search	0	https://www.nature.com/articles/s42256-024-00872-0?error=cookies_not_supported&code=af13b4c7-8724-4906-91cb-6d7bf0ec7cbf	PASS
10.1038/s41592-024-02523-z	doi	Nucleotide Transformer: building and evaluating robust foundation models for human genomics	Nature Methods	Springer Science and Business Media LLC	2024-11-28	2025-2	journal-article	Article	include_core	multispecies scaling, tokenizer and downstream benchmark	systematic_search	0	https://www.nature.com/articles/s41592-024-02523-z?error=cookies_not_supported&code=1e9420ec-0354-4628-8fc7-69e9c60a2a56	PASS
10.1038/s41467-024-53759-4	doi	A long-context language model for deciphering and generating bacteriophage genomes	Nature Communications	Springer Science and Business Media LLC	2024-10-30		journal-article	Article	include_core	species-aware long-context objective	systematic_search	0	https://www.nature.com/articles/s41467-024-53759-4?error=cookies_not_supported&code=c61f39a2-0d33-4091-9fd4-d36ed0901d75	PASS
10.1038/s41467-024-46947-9	doi	Genomic language model predicts protein co-regulation and function	Nature Communications	Springer Science and Business Media LLC	2024-4-3		journal-article	Article	include_context	cross-gene functional representation	systematic_search	0	https://www.nature.com/articles/s41467-024-46947-9?error=cookies_not_supported&code=f27f7f00-663d-4f50-8165-91cba0cb2ec9	PASS
10.1038/s41587-024-02511-w	doi	A DNA language model based on multispecies alignment predicts the effects of genome-wide variants	Nature Biotechnology	Springer Science and Business Media LLC	2025-1-2	2025-12	journal-article	Brief Communication	include_core	alignment-informed variant-effect baseline	systematic_search	0	https://www.nature.com/articles/s41587-024-02511-w?error=cookies_not_supported&code=cda98c7b-d383-406b-a754-3b03d28fee92	PASS
10.1038/s41588-024-02053-6	doi	Predicting RNA-seq coverage from DNA sequence as a unifying model of gene regulation	Nature Genetics	Springer Science and Business Media LLC	2025-1-8	2025-4	journal-article	Article	include_core	524-kb supervised RNA-seq baseline and resource bound	systematic_search	0	https://www.nature.com/articles/s41588-024-02053-6?error=cookies_not_supported&code=87989798-9d51-4569-8a58-d81863d5e34a	PASS
10.1038/s41592-025-02881-2	doi	Annotating the genome at single-nucleotide resolution with DNA foundation models	Nature Methods	Springer Science and Business Media LLC	2025-10-29	2025-11	journal-article	Article	include_core	single-nucleotide embedding annotation	citation_chasing	0	https://www.nature.com/articles/s41592-025-02881-2?error=cookies_not_supported&code=091c386c-a664-453b-93e2-9f47475f91b1	PASS
10.1038/s42003-024-06465-2	doi	A foundational large language model for edible plant genomes	Communications Biology	Springer Science and Business Media LLC	2024-7-9		journal-article	Article	include_core	AgroNT edible-plant pretraining baseline	citation_chasing	0	https://www.nature.com/articles/s42003-024-06465-2?error=cookies_not_supported&code=d72a3edf-2386-4215-95a4-1c4b9b4bc088	PASS
10.1038/s41467-025-65066-7	doi	Omnireg-gpt: a high-efficiency foundation model for comprehensive genomic sequence understanding	Nature Communications	Springer Science and Business Media LLC	2025-11-19		journal-article	Article	include_core	generalist regulatory genomics benchmark	systematic_search	0	https://www.nature.com/articles/s41467-025-65066-7?error=cookies_not_supported&code=ea5cf163-ab81-4311-bd08-03fc0eb29790	PASS
10.1038/s41467-025-65823-8	doi	Benchmarking DNA foundation models for genomic and genetic tasks	Nature Communications	Springer Science and Business Media LLC	2025-11-28		journal-article	Article	include_core	fair benchmark, pooling and multispecies-data evidence	systematic_search	0	https://www.nature.com/articles/s41467-025-65823-8?error=cookies_not_supported&code=edf9b103-6fd6-41b2-885b-1c91b9794c01	PASS
10.1038/s41586-025-10014-0	doi	Advancing regulatory variant effect prediction with AlphaGenome	Nature	Springer Science and Business Media LLC	2026-1-28	2026-1-29	journal-article	Article	include_core	1-Mb supervised multimodal sequence-to-function ceiling	systematic_search	0	https://www.nature.com/articles/s41586-025-10014-0?error=cookies_not_supported&code=6a445cce-0101-4214-ae9e-48b5035bd4dc	PASS
10.1038/s41586-026-10176-5	doi	Genome modelling and design across all domains of life with Evo 2	Nature	Springer Science and Business Media LLC	2026-3-4	2026-4-30	journal-article	Article	include_core	single-base long-context autoregressive scaling ceiling	citation_chasing	0	https://www.nature.com/articles/s41586-026-10176-5?error=cookies_not_supported&code=b774fb2b-a1a4-404f-9871-318b5792fe72	PASS
10.1038/s41586-025-09749-7	doi	Semantic design of functional de novo genes from a genomic language model	Nature	Springer Science and Business Media LLC	2025-11-19	2026-1-15	journal-article	Article	include_context	generative downstream evidence	systematic_search	0	https://www.nature.com/articles/s41586-025-09749-7?error=cookies_not_supported&code=f405d829-083b-4d60-9888-2aab013808c4	PASS
10.1038/s41467-026-75527-2	doi	Context-aware sequence-to-function model of human gene regulation	Nature Communications	Springer Science and Business Media LLC	2026-7-14		journal-article	Article	include_context	context-aware supervised regulatory model	systematic_search	0	https://www.nature.com/articles/s41467-026-75527-2?error=cookies_not_supported&code=531882cc-ec2f-4580-a056-ab04573d2ade	PASS
10.1038/s41467-024-55392-7	doi	Quantifying the regulatory potential of genetic variants via a hybrid sequence-oriented model with SVEN	Nature Communications	Springer Science and Business Media LLC	2024-12-30		journal-article	Article	include_context	structural-variant downstream design	systematic_search	0	https://www.nature.com/articles/s41467-024-55392-7?error=cookies_not_supported&code=bd198cac-e59d-458c-a5c8-565cb8c0c123	PASS
10.1038/s41467-021-21790-4	doi	Prioritizing non-coding regions based on human genomic constraint and sequence context with deep learning	Nature Communications	Springer Science and Business Media LLC	2021-3-8		journal-article	Article	include_context	constraint baseline and sequence-context limits	systematic_search	0	https://www.nature.com/articles/s41467-021-21790-4?error=cookies_not_supported&code=b5b65a6c-09e8-4dc1-b417-702a39137afc	PASS
10.1038/s42256-025-01016-8	doi	A disease-specific language model for variant pathogenicity in cardiac and regulatory genomics	Nature Machine Intelligence	Springer Science and Business Media LLC	2025-3-24		journal-article	Article	include_context	specialized variant model counterpoint	systematic_search	0	https://www.nature.com/articles/s42256-025-01016-8?error=cookies_not_supported&code=0a48d2a7-01b1-4303-8069-b949658d4357	PASS
10.1038/s43588-023-00557-5	doi	A software framework for end-to-end genomic sequence analysis with deep learning	Nature Computational Science	Springer Science and Business Media LLC	2023-11-16		journal-article	Research Briefing	exclude_editorial	Research Briefing, not primary evidence	systematic_search	0	https://www.nature.com/articles/s43588-023-00557-5?error=cookies_not_supported&code=b14a1f88-8b5c-4c22-8396-a0f7f4ac6932	PASS
10.1038/s41588-024-02062-5	doi	Nucleotide-resolution DNA foundation models of prokaryotic genomes	Nature Genetics	Springer Science and Business Media LLC	2025-1-15	2025-1	journal-article	Research Highlight	exclude_editorial	Research Highlight, not primary evidence	systematic_search	0	https://www.nature.com/articles/s41588-024-02062-5?error=cookies_not_supported&code=c5b88ab8-169a-4f32-b8a9-1116ad0c4e5e	PASS
10.1038/s41592-026-03098-7	doi	A foundation model to help understand the regulatory implications of 3D genome organization	Nature Methods	Springer Science and Business Media LLC	2026-6-15	2026-7	journal-article	Research Briefing	exclude_editorial	Research Briefing, not primary evidence	systematic_search	0	https://www.nature.com/articles/s41592-026-03098-7?error=cookies_not_supported&code=d6164b70-6051-4d9e-a0eb-34d61426e2f3	PASS
10.1073/pnas.2311219120	doi	DNA language models are powerful predictors of genome-wide variant effects	Proceedings of the National Academy of Sciences	National Academy of Sciences	2023-10-26	2023-10-31	journal-article		include_core	GPN plant variant-effect baseline	citation_chasing	0	https://doi.org/10.1073/pnas.2311219120	PASS
10.1073/pnas.2421738122	doi	Cross-species modeling of plant genomes at single-nucleotide resolution using a pretrained DNA language model	Proceedings of the National Academy of Sciences	National Academy of Sciences	2025-6-9	2025-6-17	journal-article		include_core	plant RC-equivariant single-base state-space baseline	citation_chasing	0	https://doi.org/10.1073/pnas.2421738122	PASS
10.1186/s13059-024-03221-x	doi	Species-aware DNA language models capture regulatory elements and their evolution	Genome Biology	Springer Science and Business Media LLC	2024-4-2		journal-article		include_core	species-aware multispecies objective and evaluation	citation_chasing	0	https://doi.org/10.1186/s13059-024-03221-x	PASS
10.1002/advs.75772	doi	PlantGFM: A Genomic Foundation Model for Discovery and Creation of Plant Genes	Advanced Science	Wiley	2026-5-20		journal-article		include_core	current plant multiscale foundation-model comparator	citation_chasing	0	https://doi.org/10.1002/advs.75772	PASS
10.1186/s13059-025-03890-2	doi	Large DNA and protein language models enhance discovery of deleterious mutations in maize	Genome Biology	Springer Science and Business Media LLC	2025-12-5		journal-article		include_context	crop variant-effect downstream comparator	citation_chasing	0	https://doi.org/10.1186/s13059-025-03890-2	PASS
10.52202/075280-1872	doi	HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution	Advances in Neural Information Processing Systems 36	Neural Information Processing Systems Foundation, Inc. (NeurIPS)		2023	proceedings-article		include_core	efficient long-context single-base architecture	targeted_search	0	https://doi.org/10.52202/075280-1872	PASS
10.1093/bioinformatics/btab083	doi	DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome	Bioinformatics	Oxford University Press (OUP)	2021-2-4	2021-8-9	journal-article		include_context	historical DNA MLM baseline	targeted_search	0	https://doi.org/10.1093/bioinformatics/btab083	PASS
https://proceedings.mlr.press/v235/schiff24a.html	url	Caduceus: Bi-Directional Equivariant Long-Range DNA Sequence Modeling					url		include_core	RC-equivariant bidirectional state-space architecture	targeted_search	0	https://proceedings.mlr.press/v235/schiff24a.html	PASS
https://arxiv.org/abs/2306.15006	url	DNABERT-2: Efficient Foundation Model and Benchmark For Multi-Species Genome					url		include_core	BPE multispecies baseline	targeted_search	0	https://arxiv.org/abs/2306.15006	PASS
