candidate_id	species	material_key	context_length	eligible_nonoverlap_windows	eligible	status
01bd34ba2a35deea	Glycine max	ooyachi2	1024	958012	True	ELIGIBLE
01bd34ba2a35deea	Glycine max	ooyachi2	8192	119664	True	ELIGIBLE
01bd34ba2a35deea	Glycine max	ooyachi2	32768	29835	True	ELIGIBLE
01bd34ba2a35deea	Glycine max	ooyachi2	65536	14873	True	ELIGIBLE
01bd34ba2a35deea	Glycine max	ooyachi2	131072	7382	True	ELIGIBLE
01bd34ba2a35deea	Glycine max	ooyachi2	262144	3643	True	ELIGIBLE
0b4f69cb2f7e7490	Lupinus albus	amiga	1024	421480	True	ELIGIBLE
0b4f69cb2f7e7490	Lupinus albus	amiga	8192	52649	True	ELIGIBLE
0b4f69cb2f7e7490	Lupinus albus	amiga	32768	13137	True	ELIGIBLE
0b4f69cb2f7e7490	Lupinus albus	amiga	65536	6550	True	ELIGIBLE
0b4f69cb2f7e7490	Lupinus albus	amiga	131072	3256	True	ELIGIBLE
0b4f69cb2f7e7490	Lupinus albus	amiga	262144	1610	True	ELIGIBLE
0dd3c819f44b67d7	Glycine max	wm82	1024	988260	True	ELIGIBLE
0dd3c819f44b67d7	Glycine max	wm82	8192	123517	True	ELIGIBLE
0dd3c819f44b67d7	Glycine max	wm82	32768	30866	True	ELIGIBLE
0dd3c819f44b67d7	Glycine max	wm82	65536	15424	True	ELIGIBLE
0dd3c819f44b67d7	Glycine max	wm82	131072	7702	True	ELIGIBLE
0dd3c819f44b67d7	Glycine max	wm82	262144	3845	True	ELIGIBLE
0de0accd36af9193	Glycine max	zhangchunmancangjin	1024	972789	True	ELIGIBLE
0de0accd36af9193	Glycine max	zhangchunmancangjin	8192	121374	True	ELIGIBLE
0de0accd36af9193	Glycine max	zhangchunmancangjin	32768	30156	True	ELIGIBLE
0de0accd36af9193	Glycine max	zhangchunmancangjin	65536	14947	True	ELIGIBLE
0de0accd36af9193	Glycine max	zhangchunmancangjin	131072	7417	True	ELIGIBLE
0de0accd36af9193	Glycine max	zhangchunmancangjin	262144	3672	True	ELIGIBLE
171869ade9f5b76e	Glycine max	jinyuaniga1006	1024	961441	True	ELIGIBLE
171869ade9f5b76e	Glycine max	jinyuaniga1006	8192	119708	True	ELIGIBLE
171869ade9f5b76e	Glycine max	jinyuaniga1006	32768	29511	True	ELIGIBLE
171869ade9f5b76e	Glycine max	jinyuaniga1006	65536	14477	True	ELIGIBLE
171869ade9f5b76e	Glycine max	jinyuaniga1006	131072	6993	True	ELIGIBLE
171869ade9f5b76e	Glycine max	jinyuaniga1006	262144	3314	True	ELIGIBLE
17884d0a84029a68	Vicia faba	hedin2	1024	10993414	True	ELIGIBLE
17884d0a84029a68	Vicia faba	hedin2	8192	1371902	True	ELIGIBLE
17884d0a84029a68	Vicia faba	hedin2	32768	341053	True	ELIGIBLE
17884d0a84029a68	Vicia faba	hedin2	65536	169225	True	ELIGIBLE
17884d0a84029a68	Vicia faba	hedin2	131072	83306	True	ELIGIBLE
17884d0a84029a68	Vicia faba	hedin2	262144	40385	True	ELIGIBLE
1cac6cdef48a6b1e	Glycine max	dongnongno50	1024	963201	True	ELIGIBLE
1cac6cdef48a6b1e	Glycine max	dongnongno50	8192	120265	True	ELIGIBLE
1cac6cdef48a6b1e	Glycine max	dongnongno50	32768	29951	True	ELIGIBLE
1cac6cdef48a6b1e	Glycine max	dongnongno50	65536	14889	True	ELIGIBLE
1cac6cdef48a6b1e	Glycine max	dongnongno50	131072	7400	True	ELIGIBLE
1cac6cdef48a6b1e	Glycine max	dongnongno50	262144	3668	True	ELIGIBLE
1f214bea4d5a72fb	Glycine soja	pi578357	1024	983078	True	ELIGIBLE
1f214bea4d5a72fb	Glycine soja	pi578357	8192	122698	True	ELIGIBLE
1f214bea4d5a72fb	Glycine soja	pi578357	32768	30507	True	ELIGIBLE
1f214bea4d5a72fb	Glycine soja	pi578357	65536	15154	True	ELIGIBLE
1f214bea4d5a72fb	Glycine soja	pi578357	131072	7526	True	ELIGIBLE
1f214bea4d5a72fb	Glycine soja	pi578357	262144	3725	True	ELIGIBLE
24b40cf02b3d8889	Glycine max	miyagishirome	1024	956672	True	ELIGIBLE
24b40cf02b3d8889	Glycine max	miyagishirome	8192	119387	True	ELIGIBLE
24b40cf02b3d8889	Glycine max	miyagishirome	32768	29682	True	ELIGIBLE
24b40cf02b3d8889	Glycine max	miyagishirome	65536	14729	True	ELIGIBLE
24b40cf02b3d8889	Glycine max	miyagishirome	131072	7245	True	ELIGIBLE
24b40cf02b3d8889	Glycine max	miyagishirome	262144	3514	True	ELIGIBLE
257bdc8c02ae8e94	Glycine soja	pi562565	1024	974279	True	ELIGIBLE
257bdc8c02ae8e94	Glycine soja	pi562565	8192	121605	True	ELIGIBLE
257bdc8c02ae8e94	Glycine soja	pi562565	32768	30230	True	ELIGIBLE
257bdc8c02ae8e94	Glycine soja	pi562565	65536	15007	True	ELIGIBLE
257bdc8c02ae8e94	Glycine soja	pi562565	131072	7457	True	ELIGIBLE
257bdc8c02ae8e94	Glycine soja	pi562565	262144	3697	True	ELIGIBLE
26cafc21598b8a1f	Glycine max	xudouno1	1024	972667	True	ELIGIBLE
26cafc21598b8a1f	Glycine max	xudouno1	8192	121445	True	ELIGIBLE
26cafc21598b8a1f	Glycine max	xudouno1	32768	30243	True	ELIGIBLE
26cafc21598b8a1f	Glycine max	xudouno1	65536	15040	True	ELIGIBLE
26cafc21598b8a1f	Glycine max	xudouno1	131072	7475	True	ELIGIBLE
26cafc21598b8a1f	Glycine max	xudouno1	262144	3703	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	1024	380797	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	8192	47508	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	32768	11796	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	65536	5851	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	131072	2872	True	ELIGIBLE
29502e1062edfe93	Medicago truncatula	r108	262144	1395	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	1024	488414	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	8192	61045	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	32768	15254	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	65536	7621	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	131072	3807	True	ELIGIBLE
2ca78acb5d4cc2d1	Vigna radiata	weilv9	262144	1900	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	1024	975192	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	8192	121728	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	32768	30293	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	65536	15047	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	131072	7477	True	ELIGIBLE
351b9be376cc7087	Glycine max	pi398296	262144	3701	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	1024	962130	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	8192	120046	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	32768	29825	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	65536	14791	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	131072	7271	True	ELIGIBLE
3ac8f18302bca5ce	Glycine max	jack	262144	3515	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	1024	966290	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	8192	120675	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	32768	30073	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	65536	14977	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	131072	7426	True	ELIGIBLE
3b922ebbef5d2263	Glycine max	harosoy	262144	3648	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	1024	966647	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	8192	120686	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	32768	30046	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	65536	14932	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	131072	7423	True	ELIGIBLE
3e10267861bb14ef	Glycine max	yudouno22	262144	3683	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	1024	555747	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	8192	69457	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	32768	17356	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	65536	8672	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	131072	4329	True	ELIGIBLE
3f2bcde8b6efba1f	Phaseolus vulgaris	5593	262144	2159	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	1024	965113	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	8192	120587	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	32768	30102	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	65536	15017	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	131072	7471	True	ELIGIBLE
539814fd4ada940f	Glycine max	fukuyutaka	262144	3708	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	1024	959091	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	8192	119731	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	32768	29801	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	65536	14817	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	131072	7373	True	ELIGIBLE
56bc7c342b765b44	Glycine soja	pi549046	262144	3658	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	1024	954528	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	8192	119250	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	32768	29756	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	65536	14840	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	131072	7384	True	ELIGIBLE
5844dd514643bfc4	Glycine max	fiskebyiii	262144	3652	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	1024	961852	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	8192	120178	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	32768	29995	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	65536	14960	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	131072	7451	True	ELIGIBLE
5f25bd9cfe3467d5	Glycine max	qihuangno34	262144	3699	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	1024	966208	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	8192	120616	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	32768	30019	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	65536	14917	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	131072	7410	True	ELIGIBLE
61894c4aea5cf5df	Glycine max	zhutwinning2	262144	3664	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	1024	982355	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	8192	122639	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	32768	30511	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	65536	15155	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	131072	7529	True	ELIGIBLE
667ae3303395f049	Glycine max	jidouno17	262144	3724	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	1024	957166	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	8192	119588	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	32768	29845	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	65536	14893	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	131072	7416	True	ELIGIBLE
6935c73bd3792804	Glycine max	kosuzu	262144	3677	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	1024	451097	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	8192	56153	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	32768	13829	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	65536	6785	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	131072	3268	True	ELIGIBLE
6ad3d7c855c721ce	Vigna angularis	shumari	262144	1514	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	1024	957686	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	8192	119639	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	32768	29857	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	65536	14885	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	131072	7401	True	ELIGIBLE
6b1673473c52ff69	Glycine max	tanba	262144	3657	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	1024	988068	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	8192	123498	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	32768	30864	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	65536	15427	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	131072	7708	True	ELIGIBLE
6d38dcb5c92d95c2	Glycine max	wm82njau	262144	3847	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	1024	467944	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	8192	58480	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	32768	14610	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	65536	7300	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	131072	3645	True	ELIGIBLE
723b79a6bb0fbe82	Medicago truncatula	hm078	262144	1816	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	1024	1202161	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	8192	149454	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	32768	36637	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	65536	17845	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	131072	8426	True	ELIGIBLE
751847692850cd02	Arachis stenosperma	v10309	262144	3793	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	1024	990356	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	8192	123777	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	32768	30930	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	65536	15455	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	131072	7717	True	ELIGIBLE
838679e55c2d0890	Glycine max	lee	262144	3852	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	1024	973482	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	8192	121537	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	32768	30244	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	65536	15023	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	131072	7461	True	ELIGIBLE
85b481ae24b243fe	Glycine max	zihuano4	262144	3703	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	1024	966575	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	8192	120647	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	32768	30004	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	65536	14904	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	131072	7400	True	ELIGIBLE
887fc38a30f65f36	Glycine max	fengdihuang	262144	3674	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	1024	962317	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	8192	120141	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	32768	29901	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	65536	14854	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	131072	7376	True	ELIGIBLE
8948693e7614b9a0	Glycine max	amsoy	262144	3656	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	1024	965974	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	8192	120625	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	32768	30050	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	65536	14957	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	131072	7436	True	ELIGIBLE
8c21e283eca8cf3b	Glycine max	heiheno43	262144	3688	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	1024	323548	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	8192	40433	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	32768	10100	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	65536	5046	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	131072	2519	True	ELIGIBLE
8d0c2b4f173cd9e7	Cercis chinensis	gxib	262144	1254	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	1024	961196	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	8192	120067	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	32768	29940	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	65536	14921	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	131072	7415	True	ELIGIBLE
8f9a4aa16c3e8be0	Glycine max	ua4805	262144	3664	True	ELIGIBLE
91a6c657f1069f3c	Phaseolus acutifolius	frijolbayo	1024	490323	True	ELIGIBLE
91a6c657f1069f3c	Phaseolus acutifolius	frijolbayo	8192	61060	True	ELIGIBLE
